dist,payoff,exact,q_mean,abs_err,pct_err,N,M,tau,noise_std,length_scale,shots,time_s
lognormal,franchise_deductible,1.3569725786927767,1.4424966539564663,0.08552407526368966,6.30256473908104,32,8,7,0.001,3.0,65536,2.0930583000008482
lognormal,policy_limit,1.4655262805158773,1.6104635930272233,0.144937312511346,9.889779148847941,32,8,7,0.001,3.0,65536,2.0382547000008344
lognormal,deductible_with_limit,0.7484181837430338,0.7892146493579221,0.040796465614888255,5.451025442868655,32,8,7,0.001,3.0,65536,2.02406400000109
lognormal,stop_loss,0.8579739047504147,0.8818056598789972,0.023831755128582488,2.7776783182601767,32,8,7,0.001,3.0,65536,2.0348936000009417
gamma,ordinary_deductible,1.0943071914960318,1.1276963551917796,0.03338916369574774,3.051169173995948,32,8,7,0.001,3.0,65536,2.035239199998614
gamma,franchise_deductible,1.829066071877044,1.9380110323460802,0.10894496046903623,5.956316294098308,32,8,7,0.001,3.0,65536,2.0298994000004313
gamma,policy_limit,1.9478343710072936,2.0906745616386537,0.1428401906313601,7.3332821700590705,32,8,7,0.001,3.0,65536,2.030285600001662
gamma,deductible_with_limit,1.0788083093197212,1.1121511434202203,0.0333428341004991,3.0907097963978925,32,8,7,0.001,3.0,65536,2.025528400001349
gamma,stop_loss,1.0943071914960318,1.1276963551917796,0.03338916369574774,3.051169173995948,32,8,7,0.001,3.0,65536,2.0314698000001954
weibull,ordinary_deductible,0.9256128274064236,1.0383544477809732,0.1127416203745496,12.180213695876791,32,8,7,0.001,3.0,65536,2.031601699996827
weibull,franchise_deductible,1.6268013317246828,1.8924802494556658,0.26567891773098307,16.331368345347908,32,8,7,0.001,3.0,65536,2.024086500001431
weibull,policy_limit,1.7853605191923019,2.1249390055053516,0.33957848631304977,19.020163303861747,32,8,7,0.001,3.0,65536,2.032140800001798
weibull,deductible_with_limit,0.9234985804117545,1.0350963142668221,0.11159773385506766,12.084234477687046,32,8,7,0.001,3.0,65536,2.077221899999131
