dist,payoff,exact,analytical_mean,analytical_err,N,M,noise_std,length_scale,F_sq,cond_XtX,n_eff_eigvals,min_phase_gap
pareto,ordinary_deductible,0.486,0.6524090583133643,0.16640905831336428,8,2,0.001,5.0,2.173683213722376,13.917671656140296,2,0.865930820432237
pareto,franchise_deductible,1.485,3.0668691926142126,1.5818691926142125,8,2,0.001,5.0,2.173683213722376,13.917671656140296,2,0.865930820432237
pareto,policy_limit,1.4750000000538668,3.9611466599085374,2.4861466598546706,8,2,0.001,5.0,2.173683213722376,13.917671656140296,2,0.865930820432237
pareto,deductible_with_limit,0.4811111111370867,0.6487409463664763,0.16762983522938957,8,2,0.001,5.0,2.173683213722376,13.917671656140296,2,0.865930820432237
pareto,stop_loss,0.486,0.6524090583133643,0.16640905831336428,8,2,0.001,5.0,2.173683213722376,13.917671656140296,2,0.865930820432237
lognormal,ordinary_deductible,0.8579739047504147,0.7053019968748496,0.15267190787556506,8,2,0.001,5.0,3.899438908349365,4.275833513868427,2,0.6209129809076313
lognormal,franchise_deductible,1.3569725786927767,1.1833344605030705,0.1736381181897062,8,2,0.001,5.0,3.899438908349365,4.275833513868427,2,0.6209129809076313
lognormal,policy_limit,1.4655262805158773,1.843208401207753,0.3776821206918757,8,2,0.001,5.0,3.899438908349365,4.275833513868427,2,0.6209129809076313
lognormal,deductible_with_limit,0.7484181837430338,0.5699564432430239,0.17846174050000996,8,2,0.001,5.0,3.899438908349365,4.275833513868427,2,0.6209129809076313
lognormal,stop_loss,0.8579739047504147,0.7053019968748496,0.15267190787556506,8,2,0.001,5.0,3.899438908349365,4.275833513868427,2,0.6209129809076313
gamma,ordinary_deductible,1.0943071914960318,1.46917227510232,0.3748650836062881,8,2,0.001,5.0,3.8675865462181513,23.93374024117206,2,0.9197874053128425
gamma,franchise_deductible,1.829066071877044,2.1480529886669464,0.31898691678990243,8,2,0.001,5.0,3.8675865462181513,23.93374024117206,2,0.9197874053128425
gamma,policy_limit,1.9478343710072936,2.0893632930337525,0.14152892202645884,8,2,0.001,5.0,3.8675865462181513,23.93374024117206,2,0.9197874053128425
gamma,deductible_with_limit,1.0788083093197212,1.4607322206405493,0.38192391132082815,8,2,0.001,5.0,3.8675865462181513,23.93374024117206,2,0.9197874053128425
gamma,stop_loss,1.0943071914960318,1.46917227510232,0.3748650836062881,8,2,0.001,5.0,3.8675865462181513,23.93374024117206,2,0.9197874053128425
weibull,ordinary_deductible,0.9256128274064236,1.3878513033880013,0.46223847598157775,8,2,0.001,5.0,2.908784360038651,119.19111973054937,2,0.9833598355312465
weibull,franchise_deductible,1.6268013317246828,2.160732815135405,0.533931483410722,8,2,0.001,5.0,2.908784360038651,119.19111973054937,2,0.9833598355312465
weibull,policy_limit,1.7853605191923019,2.1127539189283797,0.32739339973607784,8,2,0.001,5.0,2.908784360038651,119.19111973054937,2,0.9833598355312465
weibull,deductible_with_limit,0.9234985804117545,1.3842316997946311,0.46073311938287664,8,2,0.001,5.0,2.908784360038651,119.19111973054937,2,0.9833598355312465
weibull,stop_loss,0.9256128274064236,1.3878513033880013,0.46223847598157775,8,2,0.001,5.0,2.908784360038651,119.19111973054937,2,0.9833598355312465
pareto,ordinary_deductible,0.486,0.6989719373026329,0.21297193730263286,8,2,0.01,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
